timestamp,aqi,pm25,temperature,humidity,pressure,wind,precipitation
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
2026-02-16 17:00:00,154,154.0,12.0,48.6,797.2,2.0,
